Sr No ,Recipe Name,Ingredients,Veg/Non_Veg,Procedure,No of people,Cook Time
11,Butter Chicken,"Chicken, Butter, Tomato Puree, Cream, Onion, Garlic, Ginger, Cashew Paste, Garam Masala, Kasuri Methi, Salt",Non_veg,"Marinate chicken in yogurt, ginger, garlic, and spices. Cook chicken in butter. Prepare a sauce with tomato puree, cream, onion, garlic, ginger, and cashew paste. Add cooked chicken to the sauce. Garnish with kasuri methi. Serve hot with naan or rice.",4,40 mins
12,Chicken Tikka Masala,"Chicken, Yogurt, Lemon Juice, Ginger-Garlic Paste, Garam Masala, Tomato Puree, Cream, Onion, Butter, Kasuri Methi, Salt",Non_veg,"Marinate chicken in yogurt, lemon juice, ginger-garlic paste, and spices. Grill until cooked. Prepare a sauce with tomato puree, cream, onion, and spices. Add cooked chicken to the sauce. Garnish with kasuri methi. Serve hot with rice or naan.",4,35 mins
13,Palak Paneer,"Paneer, Spinach, Tomato, Onion, Garlic, Ginger, Green Chili, Garam Masala, Cream, Butter, Salt",Veg,"Blanch spinach and blend with tomato, onion, garlic, ginger, and green chili. Cook the mixture with spices. Add paneer and cream. Simmer until flavors combine. Serve hot with roti or rice.",4,30 mins
14,Chole (Chickpea Curry),"Chickpeas, Tomato, Onion, Ginger, Garlic, Green Chili, Garam Masala, Cumin Powder, Coriander Powder, Turmeric Powder, Amchur, Kasuri Methi, Oil, Salt",Veg,"Cook chickpeas until soft. Prepare a masala with tomato, onion, ginger, garlic, and spices. Add cooked chickpeas to the masala. Garnish with kasuri methi. Serve hot with bhature or rice.",4,45 mins
15,Rajma (Kidney Bean Curry),"Kidney Beans, Tomato, Onion, Ginger, Garlic, Green Chili, Garam Masala, Cumin Powder, Coriander Powder, Turmeric Powder, Cream, Butter, Kasuri Methi, Salt",Veg,"Soak kidney beans overnight and cook until soft. Prepare a masala with tomato, onion, ginger, garlic, and spices. Add cooked kidney beans to the masala. Garnish with cream and kasuri methi. Serve hot with rice.",4,40 mins
16,Aloo Gobi ,"Potato, Cauliflower, Tomato, Onion, Ginger, Garlic, Green Chili, Garam Masala, Turmeric Powder, Cumin Powder, Coriander Powder, Kasuri Methi, Oil, Salt",Veg,"Sauté potato and cauliflower until lightly browned. Prepare a masala with tomato, onion, ginger, garlic, and spices. Add sautéed vegetables to the masala. Garnish with kasuri methi. Serve hot with roti or rice.",4,35 mins
17,Baingan Bharta,"Eggplant, Tomato, Onion, Garlic, Ginger, Green Chili, Garam Masala, Coriander Powder, Cumin Powder, Turmeric Powder, Kasuri Methi, Oil, Salt",Veg,"Roast eggplant until soft and charred. Mash the roasted eggplant flesh. Prepare a masala with tomato, onion, garlic, ginger, and spices. Add mashed eggplant to the masala. Garnish with kasuri methi. Serve hot with roti or rice.",4,40 mins
18,Dal Makhani,"Black Lentils, Kidney Beans, Tomato, Onion, Ginger, Garlic, Green Chili, Garam Masala, Cream, Butter, Kasuri Methi, Salt",Veg,"Cook black lentils and kidney beans until soft. Prepare a masala with tomato, onion, ginger, garlic, and spices. Add cooked lentils and beans to the masala. Simmer until flavors combine. Garnish with cream and kasuri methi. Serve hot with naan or rice.",4,45 mins
19,Matar Paneer,"Paneer, Peas, Tomato, Onion, Ginger, Garlic, Green Chili, Garam Masala, Coriander Powder, Cumin Powder, Turmeric Powder, Cream, Butter, Kasuri Methi, Salt",Veg,"Prepare a masala with tomato, onion, ginger, garlic, and spices. Add peas and paneer to the masala. Simmer until flavors combine. Garnish with cream and kasuri methi. Serve hot with roti or rice.",4,35 mins
20,Malai Kofta,"Paneer, Potato, Cashews, Raisins, Tomato, Onion, Ginger, Garlic, Cream, Butter, Garam Masala, Coriander Powder, Cumin Powder, Turmeric Powder, Kasuri Methi, Salt",Veg,"Prepare kofta balls with paneer, potato, cashews, and raisins. Fry until golden brown. Prepare a creamy sauce with tomato, onion, ginger, garlic, and spices. Add fried kofta balls to the sauce. Garnish with cream and kasuri methi. Serve hot with naan or rice.",4,50 mins
21,Vegetable Korma,"Mixed Vegetables (Carrots, Peas, Beans, Potatoes), Tomato, Onion, Ginger, Garlic, Cashews, Cream, Butter, Garam Masala, Coriander Powder, Cumin Powder, Turmeric Powder, Kasuri Methi, Salt",Veg,"Sauté mixed vegetables until tender. Prepare a masala with tomato, onion, ginger, garlic, and cashews. Add sautéed vegetables to the masala. Garnish with cream and kasuri methi. Serve hot with roti or rice. ",4,40 mins
22,Paneer Butter Masala,"Paneer, Tomato, Onion, Ginger, Garlic, Cashews, Cream, Butter, Garam Masala, Coriander Powder, Cumin Powder, Turmeric Powder, Kasuri Methi, Salt",Veg,"Prepare a masala with tomato, onion, ginger, garlic, and cashews. Add paneer to the masala. Simmer until flavors combine. Garnish with cream and kasuri methi. Serve hot with naan or rice.",4,35 mins
23,Tandoori Chicken,"Chicken, Yogurt, Lemon Juice, Ginger-Garlic Paste, Garam Masala, Red Chili Powder, Turmeric Powder, Kasuri Methi, Salt",Non_veg,"Marinate chicken in yogurt, lemon juice, ginger-garlic paste, and spices. Grill until cooked. Garnish with kasuri methi. Serve hot with mint chutney and naan.",4,45 mins
24,Rogan Josh,"Lamb, Tomato, Onion, Ginger, Garlic, Yogurt, Garam Masala, Coriander Powder, Cumin Powder, Turmeric Powder, Red Chili Powder, Kasuri Methi, Oil, Salt",Non_veg,"Sauté lamb until lightly browned. Prepare a masala with tomato, onion, ginger, garlic, yogurt, and spices. Add sautéed lamb to the masala. Garnish with kasuri methi. Serve hot with rice or naan.",4,50 mins
25,Chicken Biryani,"Chicken, Basmati Rice, Tomato, Onion, Ginger, Garlic, Green Chili, Yogurt, Garam Masala, Biryani Masala, Mint Leaves, Coriander Leaves, Ghee, Oil, Cashews, Raisins, Salt",Non_veg,"Marinate chicken in yogurt, ginger, garlic, and spices. Cook rice separately. Sauté onions, add tomatoes and spices. Layer cooked rice and chicken in a pot. Garnish with fried cashews and raisins. Cook until flavors meld. Serve hot with raita.",4,60 mins
26,Veg Biryani,"Mixed Vegetables (Carrots, Peas, Beans, Potatoes), Basmati Rice, Tomato, Onion, Ginger, Garlic, Green Chili, Yogurt, Garam Masala, Biryani Masala, Mint Leaves, Coriander Leaves, Ghee, Oil, Cashews, Raisins, Salt",Veg,"Cook rice and mixed vegetables separately. Sauté onions, add tomatoes and spices. Layer cooked rice and vegetables in a pot. Garnish with fried cashews and raisins. Cook until flavors meld. Serve hot with raita.",4,50 mins
27,Hyderabadi Dum Biryani,"Chicken, Basmati Rice, Tomato, Onion, Ginger, Garlic, Green Chili, Yogurt, Garam Masala, Biryani Masala, Mint Leaves, Coriander Leaves, Ghee, Oil, Cashews, Raisins, Saffron, Milk, Salt",Non_veg,"Marinate chicken in yogurt, ginger, garlic, and spices. Cook rice partially. Sauté onions, add tomatoes and spices. Layer partially cooked rice and chicken in a pot. Top with fried onions, cashews, and raisins. Seal and cook on dum until flavors meld. Serve hot with raita.",4,70 mins
28,Shahi Paneer,"Paneer, Tomato, Onion, Cashews, Cream, Butter, Garam Masala, Coriander Powder, Cumin Powder, Turmeric Powder, Kasuri Methi, Salt",Veg,"Prepare a masala with tomato, onion, and cashews. Add paneer and cream. Simmer until flavors combine. Garnish with kasuri methi. Serve hot with naan or rice.",4,40 mins
29,Aloo paratha,"Whole Wheat Flour, Potato, Green Chili, Ginger, Coriander Leaves, Garam Masala, Cumin Powder, Oil, Salt",Veg,"Knead dough with flour, oil, and salt. Prepare a stuffing with mashed potato, green chili, ginger, coriander leaves, and spices. Roll out dough, place stuffing, and seal. Cook on a griddle with oil until golden brown. Serve hot with yogurt or pickle.",4,30 mins
30,Puri Bhaji,"Whole Wheat Flour, Potato, Onion, Tomato, Green Chili, Ginger, Coriander Leaves, Cumin Seeds, Mustard Seeds, Turmeric Powder, Oil, Salt",Veg,"Knead dough with flour, oil, and salt. Roll out dough into circles and deep fry until puffed and golden brown. Sauté onions, add potatoes and spices. Serve hot with puris.",4,40 mins
31,Pav Bhaji,"Potato, Cauliflower, Peas, Capsicum, Tomato, Onion, Ginger, Garlic, Green Chili, Pav Bhaji Masala, Butter, Lemon, Coriander Leaves, Oil, Salt",Veg,"Pressure cook vegetables until soft. Sauté onions, add tomatoes, and spices. Mash cooked vegetables and add to the masala. Cook until flavors meld. Serve hot with buttered pav, lemon wedges, and chopped onions. ",4,45 mins
32,Samosa,"All-purpose Flour, Potato, Peas, Onion, Ginger, Garlic, Green Chili, Cumin Seeds, Coriander Seeds, Fennel Seeds, Garam Masala, Amchur, Oil, Salt",Veg,"Prepare dough with flour, oil, and salt. Prepare a stuffing with mashed potato, peas, and spices. Shape dough into cones, fill with stuffing, and seal. Deep fry until golden brown. Serve hot with chutney or sauce.",4,50 mins
33,Pakora,"Gram Flour, Potato, Onion, Spinach, Cauliflower, Chili, Coriander Leaves, Cumin Seeds, Carom Seeds, Turmeric Powder, Red Chili Powder, Baking Soda, Oil, Salt",Veg,"Prepare a batter with gram flour, spices, and water. Dip sliced vegetables in batter and deep fry until crispy and golden brown. Serve hot with chutney or sauce.",4,30 mins
34,Masoor Dal,"Red Lentils, Tomato, Onion, Ginger, Garlic, Green Chili, Cumin Seeds, Mustard Seeds, Turmeric Powder, Garam Masala, Coriander Leaves, Oil, Salt",Veg,"Pressure cook lentils until soft. Prepare a tadka with onion, tomato, ginger, garlic, and spices. Add cooked lentils and simmer until flavors meld. Garnish with coriander leaves. Serve hot with rice or roti.",4,35 mins
35,Chicken Curry,"Chicken, Tomato, Onion, Ginger, Garlic, Green Chili, Yogurt, Garam Masala, Turmeric Powder, Red Chili Powder, Coriander Powder, Cumin Powder, Kasuri Methi, Oil, Salt",Non_veg,"Sauté onions, add tomatoes, ginger, garlic, and spices. Add chicken and yogurt. Cook until chicken is tender. Garnish with kasuri methi. Serve hot with rice or naan.",4,40 mins
36,Fish Curry,"Fish, Tomato, Onion, Ginger, Garlic, Green Chili, Tamarind Paste, Coconut Milk, Turmeric Powder, Red Chili Powder, Coriander Powder, Cumin Powder, Mustard Seeds, Curry Leaves, Oil, Salt",Non_veg,"Sauté onions, add tomatoes, ginger, garlic, and spices. Add fish pieces, tamarind paste, and coconut milk. Simmer until fish is cooked. Temper with mustard seeds and curry leaves. Serve hot with rice.",4,45 mins
37,Bhindi Masala,"Okra, Tomato, Onion, Ginger, Garlic, Green Chili, Turmeric Powder, Red Chili Powder, Coriander Powder, Cumin Powder, Amchur, Kasuri Methi, Oil, Salt",Veg,"Sauté okra until lightly browned. Sauté onions, add tomatoes, ginger, garlic, and spices. Add sautéed okra and cook until tender. Garnish with kasuri methi. Serve hot with roti or rice.",4,35 mins
38,Dhokla,"Gram Flour, Semolina, Yogurt, Ginger, Green Chili, Lemon Juice, Mustard Seeds, Curry Leaves, Eno Fruit Salt, Oil, Salt",Veg,"Mix gram flour, semolina, yogurt, ginger, green chili, lemon juice, and salt to make a batter. Add eno fruit salt, steam until cooked. Temper with mustard seeds and curry leaves. Serve hot with chutney.",4,30 mins
39,Idli Sambhar,"Idli Batter, Toor Dal, Tomato, Onion, Drumstick, Carrot, Potato, Tamarind, Sambar Powder, Mustard Seeds, Cumin Seeds, Dry Red Chili, Curry Leaves, Oil, Salt",Veg,"Cook toor dal until soft. Prepare sambar with vegetables, tamarind, and spices. Serve hot with steamed idlis.",4,40 mins
40,Masala Dosa,"Rice, Urad Dal, Fenugreek Seeds, Potato, Onion, Green Chili, Ginger, Mustard Seeds, Cumin Seeds, Curry Leaves, Turmeric Powder, Oil, Salt",Veg,"Soak rice, urad dal, and fenugreek seeds. Grind into a batter, ferment overnight. Prepare a filling with mashed potato and spices. Spread batter on a hot griddle, add filling, fold, and cook until crisp. Serve hot with chutney and sambar.",4,45 mins
41,Medu Wada,"Urad Dal, Green Chili, Ginger, Curry Leaves, Mustard Seeds, Cumin Seeds, Asafoetida, Oil, Salt",Veg,"Soak urad dal, grind into a batter. Add green chili, ginger, curry leaves, and salt. Shape into vadas and deep fry until golden brown. Serve hot with chutney or sambar.",4,35 mins
42,Rasam,"Tomato, Tamarind, Garlic, Cumin Seeds, Pepper, Coriander Seeds, Turmeric Powder, Mustard Seeds, Dry Red Chili, Curry Leaves, Asafoetida, Oil, Salt",Veg,"Cook tomatoes, tamarind, and spices in water. Temper with mustard seeds, dry red chili, and curry leaves. Serve hot as a soup or with rice.",4,30 mins
43,Puliyogare (Tamarind Rice),"Rice, Tamarind, Peanuts, Sesame Seeds, Curry Leaves, Mustard Seeds, Fenugreek Seeds, Dry Red Chili, Turmeric Powder, Jaggery, Oil, Salt",Veg,"Cook rice, spread on a plate to cool. Prepare a paste with tamarind, peanuts, sesame seeds, and spices. Sauté paste with tempering and mix with cooked rice. Serve hot.",4,40 mins
44,Mysore Pak,"Besan, Sugar, Ghee",Veg,"Mix besan and sugar. Cook with ghee until golden brown. Set in a tray, cut into pieces when cool. Serve as a sweet delicacy.",4,35 mins
45,Gajar Ka Halwa (Carrot Halwa),"Carrot, Milk, Sugar, Ghee, Cashews, Raisins, Cardamom Powder",Veg,"Grate carrots, cook in milk until soft. Add sugar, ghee, and cook until thickened. Garnish with cashews, raisins, and cardamom powder. Serve hot or cold.",4,50 mins
46,Puran Poli,"Chana Dal, Jaggery, Wheat Flour, Cardamom Powder, Nutmeg Powder, Ghee, Oil",Veg,"Cook chana dal until soft, mix with jaggery and spices. Prepare dough with wheat flour. Roll out dough, place filling, and seal. Cook on a griddle with ghee until golden brown. Serve hot with ghee.",4,60 mins
47,Gulab Jamun,"Milk Powder, All-purpose Flour, Baking Powder, Ghee, Milk, Sugar, Water, Cardamom Pods",Veg,"Mix milk powder, flour, and baking powder. Add milk and ghee, knead into a dough. Shape into balls, deep fry until golden brown. Make sugar syrup, add cardamom. Soak fried balls in syrup. Serve hot or cold.",4,45 mins
48,Rava Kesari,"Semolina, Sugar, Ghee, Water, Cashews, Raisins, Cardamom Powder, Saffron",Veg,"Roast semolina in ghee. Boil water, add sugar, saffron, and roasted semolina. Cook until thickened. Garnish with cashews, raisins, and cardamom powder. Serve hot.",4,30 mins
49,Rasgulla,"Milk, Lemon Juice, Sugar, Water, Rose Water",Veg,"Boil milk, add lemon juice to curdle. Strain and wash curdled milk. Knead into balls, boil in sugar syrup. Cook until doubled in size. Soak in rose water syrup. Serve chilled.",4,60 mins
50,Coconut Laddoo,"Coconut, Condensed Milk, Cardamom Powder, Ghee",Veg,"Mix grated coconut, condensed milk, and cardamom powder. Cook in ghee until mixture thickens. Shape into balls, cool. Serve as a sweet treat.",4,40 mins
51,Kheer,"Rice, Milk, Sugar, Cardamom Pods, Saffron, Cashews, Raisins",Veg,"Boil rice in milk until soft and thickened. Add sugar, cardamom, saffron, cashews, and raisins. Cook until flavors meld. Serve hot or cold.",4,45 mins
52,Poha,"Flattened Rice, Onion, Potato, Peanut, Green Chili, Curry Leaves, Mustard Seeds, Turmeric Powder, Lemon Juice, Coriander Leaves, Oil",Veg,"Wash poha and drain excess water. Sauté onions, add potatoes and spices. Add soaked poha, cook until heated through. Garnish with lemon juice and coriander leaves. Serve hot.",4,25 mins
53,Upma,"Semolina, Onion, Carrot, Green Peas, Ginger, Green Chili, Mustard Seeds, Urad Dal, Chana Dal, Curry Leaves, Cashews, Oil, Salt",Veg,"Roast semolina until golden brown. Sauté onions, add vegetables and spices. Add roasted semolina and water, cook until soft. Garnish with cashews. Serve hot with chutney.",4,30 mins
54,Dahi Vada,"Urad Dal, Yogurt, Green Chili, Ginger, Mustard Seeds, Cumin Seeds, Curry Leaves, Asafoetida, Oil, Salt",Veg,"Soak urad dal, grind into a batter. Shape into vadas, deep fry until golden brown. Soak in water, squeeze out excess water. Pour yogurt over vadas, garnish with spices. Serve chilled.",4,40 mins
55,Bhakri,"Jowar Flour, Water, Salt",Veg,"Knead flour with water and salt. Roll out dough into circles, cook on a griddle until brown spots appear. Serve hot with curries or chutney.",4,35 mins
56,Misal Pav,"Matki (Moth Beans), Onion, Tomato, Ginger-Garlic Paste, Green Chili, Mustard Seeds, Cumin Seeds, Curry Leaves, Asafoetida, Garam Masala, Pav, Lemon Wedges, Coriander Leaves, Oil, Salt",Veg,"Cook matki until soft. Sauté onions, add ginger-garlic paste and spices. Add cooked matki and water, simmer until flavors meld. Serve hot with pav, lemon wedges, and chopped onions",4,45 mins
57,Batata Vada,"Potato, Green Chili, Ginger, Mustard Seeds, Curry Leaves, Turmeric Powder, Coriander Leaves, Lemon Juice, Gram Flour, Baking Soda, Oil, Salt",Veg,"Boil and mash potatoes, add spices. Shape into balls, dip in batter, and deep fry until golden brown. Serve hot with chutney or pav.",4,35 mins
58,Sabudana Khichdi,"Sago, Potato, Peanut, Green Chili, Cumin Seeds, Curry Leaves, Lemon Juice, Coriander Leaves, Oil, Salt",Veg,"Soak sago, drain excess water. Sauté potatoes, add soaked sago and spices. Cook until translucent. Garnish with lemon juice and coriander leaves. Serve hot.",4,30 mins
59,Bhel Puri,"Puffed Rice, Onion, Potato, Tomato, Green Chili, Tamarind Chutney, Green Chutney, Sev, Coriander Leaves, Lemon Juice, Salt",Veg,"Mix puffed rice, onions, potatoes, tomatoes, and spices. Add chutneys, sev, and lemon juice. Toss well and serve immediately.",4,20 mins
60,Papdi Chaat,"Papdi, Potato, Chickpeas, Onion, Tomato, Green Chili, Tamarind Chutney, Green Chutney, Yogurt, Sev, Coriander Leaves, Chaat Masala, Salt",Veg,"Arrange papdis on a plate. Top with potatoes, chickpeas, onions, tomatoes, chutneys, and yogurt. Sprinkle with sev, chaat masala, and salt. Serve immediately.",4,20 mins
61,Ragda Pattice,"Potato, White Peas, Onion, Tomato, Green Chili, Ginger, Garlic, Tamarind Chutney, Green Chutney, Sev, Coriander Leaves, Oil, Salt",Veg,"Boil and mash potatoes, shape into patties, and shallow fry until golden brown. Cook white peas until soft. Prepare a masala with onions, tomatoes, and spices. Serve patties topped with ragda, chutneys, sev, and coriander leaves.",4,40 mins
62,Cabbage Thoran,"Cabbage, coconut, mustard seeds, curry leaves, green chilies, turmeric powder, salt, oil.",Veg,"Sauté mustard seeds, curry leaves, green chilies in oil. Add cabbage, turmeric, salt, and coconut. Cook until cabbage is tender.",4,20 mins
63,Baingan Bharta,"Brinjal (eggplant), tomatoes, onions, garlic, ginger, green chilies, coriander leaves, cumin, turmeric, salt, oil.",Veg,"Roast brinjal, peel and mash. Sauté onions, garlic, ginger, and spices. Add mashed brinjal, tomatoes, and cook until flavors blend.",3,30 mins
64,Cabbage Pakora,"Cabbage, gram flour, rice flour, chili powder, turmeric, salt, oil.",Veg,"Mix shredded cabbage with gram flour, rice flour, spices. Make a batter, deep fry until golden brown.",4,25 mins
65,Stuffed Brinjal Curry,"Brinjal (eggplant), tamarind, onions, tomatoes, garlic, ginger, coriander seeds, red chilies, mustard seeds, curry leaves, oil.",Veg,"Stuff brinjals with a paste of spices. Cook in tamarind gravy with onions, tomatoes, and spices.",5,40 mins
66,Cabbage Poriyal,"Cabbage, grated coconut, mustard seeds, urad dal, green chilies, curry leaves, turmeric, salt, oil.",Veg,"Sauté mustard seeds, urad dal, green chilies, curry leaves. Add cabbage, turmeric, salt, and coconut. Cook until tender.",3,20 mins
67,Baingan Masala,"Brinjal (eggplant), onions, tomatoes, garlic, ginger, green chilies, coriander powder, cumin powder, turmeric, garam masala, salt, oil.",Veg,"Sauté onions, garlic, ginger, green chilies. Add tomatoes, spices, and brinjal. Cook until brinjal is soft.",4,35 mins
68,Cabbage Kofta Curry,"Cabbage, potatoes, gram flour, onions, tomatoes, garlic, ginger, green chilies, coriander leaves, cumin seeds, turmeric, garam masala, salt, oil.",Veg,"Make koftas with cabbage, potatoes, and gram flour. Fry and add to a curry made with onions, tomatoes, and spices.",4,45 mins
69,Bagara Baingan,"Brinjal (eggplant), peanuts, sesame seeds, coconut, onions, tomatoes, tamarind, garlic, ginger, red chilies, cumin, coriander, turmeric, garam masala, salt, oil.",Veg,"Roast and grind spices with peanuts, sesame seeds, coconut. Cook brinjals with onions, tomatoes, tamarind, and the ground paste.",5,50 mins
70,Cabbage Soup,"Cabbage, carrots, onions, garlic, ginger, vegetable broth, bay leaves, thyme, salt, pepper, oil.",Veg,"Sauté onions, garlic, ginger. Add cabbage, carrots, vegetable broth, and spices. Simmer until vegetables are tender.",6,25 mins
71,Brinjal Fry,"Brinjal (eggplant), besan (gram flour), rice flour, chili powder, turmeric, salt, oil.",Veg,"Mix brinjal slices with besan, rice flour, spices. Deep fry until crispy.",3,20 mins
72,Cabbage Paratha,"Cabbage, whole wheat flour, onions, green chilies, coriander leaves, cumin seeds, turmeric, salt, oil.",Veg,"Mix shredded cabbage with wheat flour, onions, spices. Make dough, roll into parathas, and cook with oil.",4,30 mins
73,Brinjal Curry,"Brinjal (eggplant), tamarind, onions, tomatoes, garlic, ginger, sambar powder, mustard seeds, curry leaves, fenugreek seeds, oil.",Veg,"Cook brinjals in tamarind gravy with onions, tomatoes, garlic, ginger, and spices.",3,35 mins
74,Cabbage Manchurian,"Cabbage, corn flour, all-purpose flour, ginger-garlic paste, soy sauce, chili sauce, vinegar, green onions, salt, oil.",Veg,"Make balls with shredded cabbage and flours. Fry and toss with sauces, ginger-garlic paste, and green onions.",4,40 mins
75,Stuffed Brinjal ,"Brinjal (eggplant), peanuts, sesame seeds, coconut, onions, tomatoes, ginger, garlic, coriander powder, cumin powder, turmeric, garam masala, salt, oil.",Veg,"Stuff brinjals with a mixture of spices, coconut, and peanuts. Cook in a gravy made with onions, tomatoes, and spices.",5,45 mins
76,Cabbage Dal,"Cabbage, toor dal, onions, tomatoes, garlic, ginger, green chilies, mustard seeds, cumin seeds, turmeric, coriander leaves, salt, oil.",Veg,"Cook toor dal with cabbage, onions, tomatoes, garlic, ginger, and spices. Tempered with mustard seeds, cumin seeds, and garnished with coriander leaves.",4,30 mins
77,Brinjal Rice (Vangi Bath),"Brinjal (eggplant), rice, tamarind, onions, tomatoes, peanuts, chana dal, urad dal, mustard seeds, curry leaves, red chilies, coriander leaves, turmeric, salt, oil.",Veg,"Cook rice with a mixture of brinjals, tamarind, onions, tomatoes, peanuts, and spices.",3,35 mins
78,Stuffed Capsicum,"Capsicum, potatoes, onions, tomatoes, peas, ginger, garlic, turmeric, coriander powder, cumin powder, garam masala, salt, oil.",Veg,"Stuff capsicum with a mixture of mashed potatoes, peas, onions, tomatoes, and spices. Bake until capsicum is tender.",4,45 mins
79,Cabbage Rolls,"Cabbage leaves, rice, carrots, capsicum, onions, tomatoes, garlic, ginger, chili flakes, cumin powder, coriander leaves, salt, oil.",Veg,"Blanch cabbage leaves, fill with a mixture of rice, carrots, capsicum, onions, tomatoes, and spices. Roll and bake until cooked.",3,50 mins
80,Tomato Rice,"Tomatoes, rice, onions, capsicum, ginger, garlic, green chilies, cinnamon, cloves, cardamom, turmeric, coriander leaves, salt, oil.",Veg,"Sauté onions, ginger, garlic, green chilies, and spices. Add tomatoes, capsicum, rice, and cook until rice is done.",3,35 mins
81,Pasta Delight,"Capsicum, Tomato, Onion, Garlic, Brinjal, Pasta, Olive Oil, Basil, Oregano, Chili Flakes, Salt, Pepper",Veg,"Sauté onions, garlic. Add capsicum, tomatoes, brinjal, herbs, spices. Toss with cooked pasta.",2,25 mins
82,Stir-Fry Delight,"Brinjal, Capsicum, Onion, Garlic, Ginger, Tomato, Soy Sauce, Vinegar, Chili Flakes, Salt, Oil",Veg,"Sauté onions, garlic, ginger. Add brinjal, capsicum, tomatoes, soy sauce. Stir-fry until cooked.",4,35 mins
83,Capsicum Salad,"Capsicum, Brinjal, Tomato, Onion, Cucumber, Lettuce, Lemon Juice, Olive Oil, Salt, Pepper, Herbs",Veg,"Grill vegetables. Mix with lettuce, dress with lemon juice, olive oil, salt, pepper, herbs.",3,30 mins
84,Capsicum and Cheese Sandwich,"Capsicum, Cheese, Tomato, Onion, Bread Slices, Butter, Salt, Pepper, Mixed Herbs",Veg,"Layer capsicum, cheese, tomato, and onion between bread slices. Grill until cheese melts.",2,15 mins
85,Veggie Fried Rice,"Rice, Capsicum, Cabbage, Brinjal, Tomato, Onion, Garlic, Ginger, Soy Sauce, Vinegar, Chili Flakes, Salt, Oil",Veg,"Cook rice, stir-fry with chopped vegetables, soy sauce, vinegar, and spices.",3,25 mins
